,date,value,daily_ret,cum_ret
0,2020-01-01,100000000,,0
1,2020-01-02,100386360,0.38636,0.0038636
2,2020-01-03,100260960,-0.124917369,0.0026096
3,2020-01-06,100269890,0.008906757,0.0026989
4,2020-01-07,100267105,-0.002777504,0.00267105
5,2020-01-09,100607017,0.339006497,0.00607017
6,2020-01-10,102090052,1.474087041,0.02090052
7,2020-01-13,102058522,-0.030884498,0.02058522
8,2020-01-14,102069004,0.010270578,0.02069004
9,2020-01-15,101012739,-1.034853833,0.01012739
10,2020-01-16,99791259,-1.20923362,-0.00208741
11,2020-01-17,99243022,-0.549383789,-0.00756978
12,2020-01-20,98710434,-0.536650325,-0.01289566
13,2020-01-21,98148282,-0.569496027,-0.01851718
14,2020-01-22,97938270,-0.213974199,-0.0206173
15,2020-01-23,97293925,-0.657909314,-0.02706075
16,2020-01-28,96912704,-0.391824053,-0.03087296
17,2020-01-29,97477864,0.583163999,-0.02522136
18,2020-01-30,96776349,-0.719665954,-0.03223651
19,2020-01-31,95938635,-0.86561852,-0.04061365
20,2020-02-03,95763215,-0.182846045,-0.04236785
21,2020-02-04,96570432,0.842930138,-0.03429568
22,2020-02-05,96149512,-0.435868403,-0.03850488
23,2020-02-06,96129582,-0.020728134,-0.03870418
24,2020-02-07,95814137,-0.328145607,-0.04185863
25,2020-02-10,95806157,-0.008328625,-0.04193843
26,2020-02-11,95532557,-0.285576636,-0.04467443
27,2020-02-12,95466977,-0.068646755,-0.04533023
28,2020-02-13,95173303,-0.307618413,-0.04826697
29,2020-02-14,94716953,-0.479493708,-0.05283047
30,2020-02-17,95164468,0.472476136,-0.04835532
31,2020-02-18,94626071,-0.565754227,-0.05373929
32,2020-02-19,94747706,0.128542799,-0.05252294
33,2020-02-20,93200006,-1.633496013,-0.06799994
34,2020-02-21,91973711,-1.315767083,-0.08026289
35,2020-02-24,90187054,-1.942573569,-0.09812946
36,2020-02-25,91370489,1.312200529,-0.08629511
37,2020-02-26,91536274,0.18144261,-0.08463726
38,2020-02-27,90820434,-0.782028773,-0.09179566
39,2020-03-03,89851339,-1.06704511,-0.10148661
40,2020-03-04,90496449,0.717974832,-0.09503551
41,2020-03-05,90592384,0.106009684,-0.09407616
42,2020-03-10,90428844,-0.180522901,-0.09571156
43,2020-03-11,89832354,-0.659623604,-0.10167646
44,2020-03-12,89141954,-0.768542701,-0.10858046
45,2020-03-13,87897287,-1.396275204,-0.12102713
46,2020-03-16,85233952,-3.030053703,-0.14766048
47,2020-03-17,86805377,1.843660845,-0.13194623
48,2020-03-18,86592257,-0.245514745,-0.13407743
49,2020-03-19,85236097,-1.56614465,-0.14763903
50,2020-03-20,85486251,0.29348364,-0.14513749
51,2020-03-23,85604752,0.138619952,-0.14395248
52,2020-03-24,86291690,0.802453116,-0.1370831
53,2020-03-25,87082188,0.916076623,-0.12917812
54,2020-03-26,87084838,0.003043102,-0.12915162
55,2020-03-27,86461358,-0.715945524,-0.13538642
56,2020-03-30,88359828,2.195743907,-0.11640172
57,2020-03-31,89750607,1.573994689,-0.10249393
58,2020-04-01,89439197,-0.346972584,-0.10560803
59,2020-04-03,90584522,1.280562705,-0.09415478
60,2020-04-06,90883942,0.330542121,-0.09116058
61,2020-04-07,90482882,-0.441288077,-0.09517118
62,2020-04-08,91195926,0.78804298,-0.08804074
63,2020-04-09,89653340,-1.691507579,-0.1034666
64,2020-04-10,89355100,-0.332659107,-0.106449
65,2020-04-13,89810050,0.509148331,-0.1018995
66,2020-04-14,89506443,-0.338054594,-0.10493557
67,2020-04-16,90761193,1.401854389,-0.09238807
68,2020-04-17,90860871,0.109824471,-0.09139129
69,2020-04-20,92921229,2.267596576,-0.07078771
70,2020-04-21,92711779,-0.225405973,-0.07288221
71,2020-04-22,94176529,1.579896337,-0.05823471
72,2020-04-23,93592509,-0.620133282,-0.06407491
73,2020-04-24,93756027,0.174712701,-0.06243973
74,2020-04-27,93673359,-0.088173532,-0.06326641
75,2020-04-28,93324984,-0.371904033,-0.06675016
76,2020-04-29,92517864,-0.864848795,-0.07482136
77,2020-05-04,92518744,0.000951168,-0.07481256
78,2020-05-06,92386854,-0.142554897,-0.07613146
79,2020-05-07,92318972,-0.073475822,-0.07681028
80,2020-05-08,91706574,-0.663350107,-0.08293426
81,2020-05-11,91548474,-0.172397673,-0.08451526
82,2020-05-12,91265579,-0.309011158,-0.08734421
83,2020-05-13,91195629,-0.076644449,-0.08804371
84,2020-05-14,90678201,-0.567382456,-0.09321799
85,2020-05-15,90554201,-0.136747309,-0.09445799
86,2020-05-18,90284163,-0.298205933,-0.09715837
87,2020-05-19,90213388,-0.078391379,-0.09786612
88,2020-05-20,90260158,0.051843746,-0.09739842
89,2020-05-21,90134138,-0.139618634,-0.09865862
90,2020-05-22,89099237,-1.148178729,-0.10900763
91,2020-05-25,89035046,-0.072044388,-0.10964954
92,2020-05-26,89024526,-0.011815572,-0.10975474
93,2020-05-27,90266650,1.395260448,-0.0973335
94,2020-05-28,89396179,-0.964332896,-0.10603821
95,2020-05-29,88760210,-0.711405126,-0.1123979
96,2020-06-01,88358486,-0.452594693,-0.11641514
97,2020-06-02,88172421,-0.210579661,-0.11827579
98,2020-06-03,88029551,-0.162034793,-0.11970449
99,2020-06-04,87922091,-0.122072644,-0.12077909
100,2020-06-05,87700259,-0.252305191,-0.12299741
101,2020-06-08,87586619,-0.129577725,-0.12413381
102,2020-06-09,86992299,-0.678551138,-0.13007701
103,2020-06-10,86791874,-0.230393957,-0.13208126
104,2020-06-11,86102974,-0.793737902,-0.13897026
105,2020-06-12,86572920,0.545795317,-0.1342708
106,2020-06-15,86033850,-0.622677391,-0.1396615
107,2020-06-16,86303580,0.313516133,-0.1369642
108,2020-06-17,85839620,-0.537590677,-0.1416038
109,2020-06-18,85565034,-0.31988259,-0.14434966
110,2020-06-19,85514914,-0.058575329,-0.14485086
111,2020-06-22,85665434,0.176016081,-0.14334566
112,2020-06-23,85293509,-0.434159944,-0.14706491
113,2020-06-24,85374409,0.094848953,-0.14625591
114,2020-06-25,84875969,-0.583828346,-0.15124031
115,2020-06-26,84597524,-0.328061056,-0.15402476
116,2020-06-29,84382019,-0.254741498,-0.15617981
117,2020-06-30,84565664,0.217635229,-0.15434336
118,2020-07-01,84906714,0.403296071,-0.15093286
119,2020-07-02,84944114,0.044048342,-0.15055886
120,2020-07-03,85292189,0.409769416,-0.14707811
121,2020-07-06,85095799,-0.230255551,-0.14904201
122,2020-07-07,84625283,-0.552925063,-0.15374717
123,2020-07-08,84338483,-0.338905809,-0.15661517
124,2020-07-09,84268783,-0.082643175,-0.15731217
125,2020-07-10,83836753,-0.512680953,-0.16163247
126,2020-07-13,85286833,1.729647139,-0.14713167
127,2020-07-14,84972303,-0.368790807,-0.15027697
128,2020-07-15,85220917,0.292582396,-0.14779083
129,2020-07-16,85198377,-0.026448906,-0.14801623
130,2020-07-17,84686997,-0.600222701,-0.15313003
131,2020-07-20,84669017,-0.021231122,-0.15330983
132,2020-07-21,84352437,-0.373903006,-0.15647563
133,2020-07-22,84297949,-0.064595644,-0.15702051
134,2020-07-23,83690529,-0.720563201,-0.16309471
135,2020-07-24,83009889,-0.81328199,-0.16990111
136,2020-07-27,83398294,0.467902083,-0.16601706
137,2020-07-28,83554274,0.187030205,-0.16445726
138,2020-07-29,83142814,-0.492446383,-0.16857186
139,2020-07-30,83157884,0.018125439,-0.16842116
140,2020-07-31,83141554,-0.019637344,-0.16858446
141,2020-08-03,83330514,0.22727504,-0.16669486
142,2020-08-04,83414894,0.101259426,-0.16585106
143,2020-08-05,83169099,-0.294665603,-0.16830901
144,2020-08-06,84307834,1.369180397,-0.15692166
145,2020-08-07,83566744,-0.879028632,-0.16433256
146,2020-08-10,83513039,-0.064265996,-0.16486961
147,2020-08-11,84025803,0.613992744,-0.15974197
148,2020-08-12,84006843,-0.022564497,-0.15993157
149,2020-08-13,84057603,0.060423649,-0.15942397
150,2020-08-14,83124043,-1.110619345,-0.16875957
151,2020-08-19,83011553,-0.135327874,-0.16988447
152,2020-08-20,82635685,-0.452789987,-0.17364315
153,2020-08-21,82532245,-0.125175945,-0.17467755
154,2020-08-24,82525885,-0.007706079,-0.17474115
155,2020-08-25,83134135,0.737041475,-0.16865865
156,2020-08-26,84234690,1.323830458,-0.1576531
157,2020-08-27,83626090,-0.722505182,-0.1637391
158,2020-08-28,83185565,-0.526779382,-0.16814435
159,2020-08-31,83093656,-0.110486717,-0.16906344
160,2020-09-01,83052726,-0.049257671,-0.16947274
161,2020-09-02,83018146,-0.041636201,-0.16981854
162,2020-09-03,83340728,0.388568061,-0.16659272
163,2020-09-04,83708853,0.441710804,-0.16291147
164,2020-09-07,85891318,2.6072093,-0.14108682
165,2020-09-09,85769618,-0.141690689,-0.14230382
166,2020-09-10,85528128,-0.281556576,-0.14471872
167,2020-09-11,87685253,2.522123482,-0.12314747
168,2020-09-14,86992468,-0.790081543,-0.13007532
169,2020-09-15,86847418,-0.166738573,-0.13152582
170,2020-09-16,86201690,-0.743520089,-0.1379831
171,2020-09-21,85651155,-0.638659172,-0.14348845
172,2020-09-23,85707405,0.06567337,-0.14292595
173,2020-09-24,84144190,-1.823897247,-0.1585581
174,2020-09-25,83914795,-0.272621318,-0.16085205
175,2020-09-28,83777865,-0.163177423,-0.16222135
176,2020-09-29,83648099,-0.154892942,-0.16351901
177,2020-10-05,84175754,0.630803337,-0.15824246
178,2020-10-06,83220544,-1.13478045,-0.16779456
179,2020-10-07,83526294,0.367397262,-0.16473706
180,2020-10-08,83294409,-0.277619165,-0.16705591
181,2020-10-12,83133374,-0.193332304,-0.16866626
182,2020-10-13,83075074,-0.070128274,-0.16924926
183,2020-10-14,83007799,-0.080980969,-0.16992201
