date,ticker,amount,price,buyorsell
2020-01-02,013000,4901,2040,buy
2020-01-02,011200,2449,3675,buy
2020-01-02,071950,6230,1300,buy
2020-01-02,013000,4901,2075,sell
2020-01-02,071950,6230,1305,sell
2020-01-02,011200,2449,3750,sell
2020-01-03,009470,627,16000,buy
2020-01-03,009470,627,15800,sell
2020-01-06,011000,4260,2353,buy
2020-01-06,005420,1441,6260,buy
2020-01-06,011000,4260,2257,sell
2020-01-06,005420,1441,6550,sell
2020-01-07,069730,2115,4740,buy
2020-01-07,006120,336,26850,buy
2020-01-07,009320,3867,2100,buy
2020-01-07,090080,6016,1215,buy
2020-01-07,118000,1890,3480,buy
2020-01-07,006120,336,26750,sell
2020-01-07,069730,2115,4860,sell
2020-01-07,118000,1890,3445,sell
2020-01-07,090080,6016,1205,sell
2020-01-07,009320,3867,2075,sell
2020-01-09,015260,4131,2427,buy
2020-01-09,005420,1390,6490,buy
2020-01-09,005420,1390,6580,sell
2020-01-09,015260,4131,2479,sell
2020-01-10,009320,4615,2180,buy
2020-01-10,008700,4332,2090,buy
2020-01-10,014910,3772,2160,buy
2020-01-10,074610,1013,7240,buy
2020-01-10,009420,184,35750,buy
2020-01-10,002210,382,15550,buy
2020-01-10,004310,962,5560,buy
2020-01-10,002210,382,15550,sell
2020-01-10,009420,184,37500,sell
2020-01-10,004310,962,5670,sell
2020-01-10,074610,1013,7210,sell
2020-01-10,014910,3772,2195,sell
2020-01-10,008700,4332,2145,sell
2020-01-10,009320,4615,2335,sell
2020-01-13,002720,2096,4870,buy
2020-01-13,070960,1531,6000,buy
2020-01-13,002720,2096,4760,sell
2020-01-13,070960,1531,6130,sell
2020-01-14,009320,4243,2405,buy
2020-01-14,000040,7744,1186,buy
2020-01-14,009320,4243,2475,sell
2020-01-14,000040,7744,1149,sell
2020-01-15,003060,7645,1335,buy
2020-01-15,008700,4312,2130,buy
2020-01-15,001820,131,63000,buy
2020-01-15,008700,4312,2135,sell
2020-01-15,003060,7645,1230,sell
2020-01-15,001820,131,60900,sell
2020-01-16,109070,522,19320,buy
2020-01-16,109070,522,16980,sell
2020-01-17,011230,3441,2900,buy
2020-01-17,009470,531,16900,buy
2020-01-17,018500,8942,904,buy
2020-01-17,009470,531,16500,sell
2020-01-17,011230,3441,2805,sell
2020-01-17,018500,8942,903,sell
2020-01-20,018500,10799,919,buy
2020-01-20,074610,1215,7350,buy
2020-01-20,004310,1499,5360,buy
2020-01-20,004310,1499,5310,sell
